question,answer,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the purpose of the Labour Standards Act?,"According to the document, the purpose of the Labour Standards Act is to:

*   Provide fundamental protection to individual workers.
*   Create a “level playing field” for employers in the labour market by establishing standard employment practices.
*   Require all employers to establish conditions of employment that meet at least the legislated minimum standards in areas such as hours of work, minimum wage, leave entitlements, termination of employment, paid public holidays, and vacation.",The Labour Standards Act provides fundamental protection to individual workers and establishes standard employment practices and minimum employment standards.,1.0,0.9999999999994381,0.9999999999,1.0
Who does the Labour Standards Act apply to?,"Based on the document, the Labour Standards Act applies only in circumstances where a person is employed under a contract of service. This means the employer has the ability to control and direct how the employee carries out their duties. Additionally, the Act requires all employers to establish conditions of employment that meet at least the legislated minimum standards.",The Labour Standards Act applies to people employed under a contract of service.,1.0,0.86491589818746,0.0,0.25
How many weeks of annual vacation does an employee receive after 15 years of continuous employment?,An employee with 15 or more years of continuous employment with the same employer is entitled to 3 weeks of annual vacation per year.,An employee with 15 years or more of continuous employment receives 3 weeks of annual vacation.,0.5,0.9259821062234993,0.99999999995,1.0
What percentage of vacation pay is provided to an employee with 15 years or more of continuous employment?,An employee with 15 years or more of continuous employment with the same employer is provided with 6% of gross earnings as vacation pay.,An employee with 15 years or more of continuous employment receives 6% vacation pay.,1.0,0.9436993159897827,0.99999999995,1.0
How many days of sick leave are available after 30 days of employment?,"According to the document, an employee who has been employed with the same employer for a continuous period of 30 days is entitled to **7 days** of unpaid sick or family responsibility leave per year.

This is found in the ""Sick/Family Responsibility Leave"" section (Pages 4-10 table and Page 19 paragraph).",An employee employed for at least 30 days is entitled to 7 days of unpaid sick or family responsibility leave per year.,0.0,0.8222111686155212,0.0,1.0
What is the standard working schedule for employees?,"According to the document, the standard working schedule is Monday through Friday. Employees are expected to be available during core business hours unless an approved flexible arrangement applies. Additionally, the regulation sets 40 hours as the “standard working hours” in a week.",The standard working schedule is Monday through Friday.,0.6666666666666666,0.8764222917692147,0.9999999999,1.0
What responsibilities does the AI department have?,"The AI department maintains machine-learning services, evaluates model performance, and supports data-driven applications. Additionally, like all departments, it is required to maintain accurate records and ensure that information in reports is checked before being shared with other teams.","The AI department maintains machine-learning services, evaluates model performance, and supports data-driven applications.",1.0,0.9397613814362753,0.0,1.0
What is the department and role of employee EMP-1001?,"According to the table, employee EMP-1001 (Anuj Sharma) is in the **AI** department and holds the role of **ML Engineer**.",EMP-1001 is in the AI department and the role is ML Engineer.,0.75,0.8738584654817484,0.9999999999,1.0
What is the duration and requirement status of TR-02?,"The training code TR-02, named ""Information Security,"" has a duration of **3 hours** and is marked as **Required**.","TR-02 is Information Security training, has a duration of 3 hours, and is required.",1.0,0.8633314477688826,0.9999999999,1.0
Who is the contact person for the IT department and what is their extension?,"The contact person for the IT department is Rahul Jain, and their extension is 310.",Rahul Jain is the IT department contact and the extension is 310.,1.0,0.9999999999994736,0.9999999999,1.0
